name,category,description,address,city,state,phone,website,hours,latitude,longitude
Rivermoor Community Food Pantry,Food,Free groceries and pantry staples for individuals and families.,123 Elm Street,Rivermoor,NJ,(555) 010-0101,https://example.org/rivermoor-food-pantry,Mon-Fri 9am-4pm,40.052,-74.452
Eastside Soup Kitchen,Food,Hot meals served daily; no ID or appointment required.,45 Bridge Ave,Rivermoor,NJ,(555) 010-0102,https://example.org/eastside-soup-kitchen,Daily 11am-1pm,40.061,-74.438
Maple Street Food Bank,Food,Packaged groceries and fresh produce distribution twice a week.,78 Maple St,Fairview,NJ,(555) 010-0103,https://example.org/maple-street-food-bank,Tue & Thu 10am-2pm,40.091,-74.401
Neighbors Table Meal Program,Food,Weekend community meal program open to all.,210 Oak Ave,Rivermoor,NJ,(555) 010-0104,https://example.org/neighbors-table,Sat 12pm-2pm,40.047,-74.463
South Philly Community Fridge,Food,Free grocery pickup stocked daily with donated staples and produce.,1420 Passyunk Ave,Philadelphia,PA,(555) 010-0105,https://example.org/south-philly-fridge,Daily 8am-8pm,39.928,-75.168
Center City Meal Share,Food,"Hot lunch service for anyone in need, no questions asked.",210 Chestnut St,Philadelphia,PA,(555) 010-0106,https://example.org/center-city-meal-share,Mon-Fri 11:30am-1:30pm,39.949,-75.148
Rivermoor Emergency Shelter,Shelter,Overnight emergency shelter beds and intake services.,55 Harbor Rd,Rivermoor,NJ,(555) 010-0201,https://example.org/rivermoor-shelter,Open 24/7,40.058,-74.446
Hope House Transitional Housing,Shelter,Transitional housing program with case management support.,300 Pine St,Fairview,NJ,(555) 010-0202,https://example.org/hope-house,Open 24/7,40.098,-74.412
Safe Harbor Family Shelter,Shelter,Emergency shelter specifically for families with children.,12 Willow Ln,Rivermoor,NJ,(555) 010-0203,https://example.org/safe-harbor,Open 24/7,40.044,-74.441
New Beginnings Housing Assistance,Shelter,Rental assistance and housing placement counseling.,88 Cedar Ave,Fairview,NJ,(555) 010-0204,https://example.org/new-beginnings,Mon-Fri 9am-5pm,40.087,-74.419
Broad Street Emergency Shelter,Shelter,Overnight shelter beds with on-site intake and referrals.,1800 N Broad St,Philadelphia,PA,(555) 010-0205,https://example.org/broad-street-shelter,Open 24/7,39.987,-75.163
Kensington Family Housing Center,Shelter,Short-term housing and case management for families.,2500 Kensington Ave,Philadelphia,PA,(555) 010-0206,https://example.org/kensington-housing,Mon-Sun 7am-9pm,39.985,-75.123
Rivermoor Free Clinic,Healthcare,No-cost primary care clinic for uninsured residents.,400 Main St,Rivermoor,NJ,(555) 010-0301,https://example.org/rivermoor-clinic,Mon-Wed 8am-6pm,40.055,-74.449
Fairview Community Health Center,Healthcare,Primary and preventive care on a sliding-fee scale.,15 Birch Rd,Fairview,NJ,(555) 010-0302,https://example.org/fairview-health,Mon-Fri 8am-5pm,40.094,-74.407
Riverside Dental Care,Healthcare,Low-cost dental checkups and cleanings plus emergency care.,22 Chestnut St,Rivermoor,NJ,(555) 010-0303,https://example.org/riverside-dental,Tue-Sat 9am-4pm,40.049,-74.457
Mindful Path Counseling Services,Healthcare,Free and low-cost mental health counseling sessions.,60 Aspen Ave,Rivermoor,NJ,(555) 010-0304,https://example.org/mindful-path,Mon-Fri 10am-6pm,40.064,-74.433
Philadelphia Community Health Clinic,Healthcare,Walk-in primary care and vaccinations regardless of insurance status.,1200 Callowhill St,Philadelphia,PA,(555) 010-0305,https://example.org/philly-community-health,Mon-Fri 8am-6pm,39.961,-75.159
West Philly Dental Outreach,Healthcare,Free dental screenings and referrals for urgent care.,4500 Walnut St,Philadelphia,PA,(555) 010-0306,https://example.org/west-philly-dental,Wed & Fri 9am-3pm,39.955,-75.207
Brooklyn Community Health Center,Healthcare,Sliding-scale primary care and chronic disease management.,780 Flatbush Ave,Brooklyn,NY,(555) 010-0307,https://example.org/brooklyn-health-center,Mon-Fri 8am-7pm,40.661,-73.962
Rivermoor Legal Aid Society,Legal,Free legal consultations for housing family and benefits cases.,5 Court St,Rivermoor,NJ,(555) 010-0401,https://example.org/rivermoor-legal-aid,Mon-Fri 9am-4pm,40.053,-74.444
Fairview Tenant Rights Clinic,Legal,Walk-in clinic for renters facing eviction or lease disputes.,33 Justice Ave,Fairview,NJ,(555) 010-0402,https://example.org/tenant-rights-clinic,Wed 1pm-5pm,40.096,-74.415
Community Law Project,Legal,Volunteer attorneys offering pro bono civil legal help.,71 Liberty Rd,Rivermoor,NJ,(555) 010-0403,https://example.org/community-law-project,Mon-Fri 9am-5pm,40.041,-74.436
Immigration Help Desk,Legal,Guidance on immigration paperwork and legal referrals.,19 Unity St,Fairview,NJ,(555) 010-0404,https://example.org/immigration-help-desk,Thu 10am-2pm,40.089,-74.423
Philadelphia Tenant Advocacy Project,Legal,Free representation and advice for tenants facing eviction.,1600 Arch St,Philadelphia,PA,(555) 010-0405,https://example.org/philly-tenant-advocacy,Mon-Fri 9am-5pm,39.954,-75.165
North Philly Legal Aid Office,Legal,General civil legal aid including benefits and family law cases.,2200 N 5th St,Philadelphia,PA,(555) 010-0406,https://example.org/north-philly-legal-aid,Tue & Thu 10am-4pm,39.983,-75.135
Los Angeles Legal Aid Foundation,Legal,"Free legal clinics covering housing, benefits, and family law.",1550 W 8th St,Los Angeles,CA,(555) 010-0407,https://example.org/la-legal-aid,Mon-Fri 9am-5pm,34.055,-118.28
Rivermoor Workforce Center,Employment,Job search assistance and resume help plus career counseling.,100 Commerce Dr,Rivermoor,NJ,(555) 010-0501,https://example.org/rivermoor-workforce,Mon-Fri 8am-5pm,40.06,-74.455
Fairview Job Training Institute,Employment,Skills training and certification programs for in-demand trades.,8 Industry Ave,Fairview,NJ,(555) 010-0502,https://example.org/fairview-job-training,Mon-Fri 9am-4pm,40.101,-74.409
Career Bridge Employment Services,Employment,One-on-one job coaching and employer placement services.,40 Progress St,Rivermoor,NJ,(555) 010-0503,https://example.org/career-bridge,Mon-Fri 9am-5pm,40.048,-74.429
NextStep Resume & Interview Help,Employment,Drop-in resume review and mock interview practice.,27 Ambition Rd,Fairview,NJ,(555) 010-0504,https://example.org/nextstep-help,Tue & Thu 1pm-4pm,40.093,-74.417
Philadelphia Workforce Development Center,Employment,Career counseling and job placement services for adults.,800 Market St,Philadelphia,PA,(555) 010-0505,https://example.org/philly-workforce-dev,Mon-Fri 8am-5pm,39.951,-75.156
Delaware Valley Job Placement Services,Employment,Employer connections and vocational training referrals.,3300 Grays Ferry Ave,Philadelphia,PA,(555) 010-0506,https://example.org/delaware-valley-jobs,Mon-Fri 9am-4pm,39.937,-75.199
Houston Job Training Center,Employment,Vocational training and job placement for in-demand industries.,4400 Griggs Rd,Houston,TX,(555) 010-0507,https://example.org/houston-job-training,Mon-Fri 8am-5pm,29.706,-95.334
Rivermoor Public Library,Education,Free classes and computer access plus literacy programs.,2 Reading Ln,Rivermoor,NJ,(555) 010-0601,https://example.org/rivermoor-library,Mon-Sat 9am-8pm,40.057,-74.45
Fairview Adult Learning Center,Education,GED prep and adult basic education classes.,14 Scholar St,Fairview,NJ,(555) 010-0602,https://example.org/fairview-learning,Mon-Fri 9am-6pm,40.099,-74.404
Bright Futures Tutoring Program,Education,Free after-school tutoring for K-12 students.,9 Learning Ave,Rivermoor,NJ,(555) 010-0603,https://example.org/bright-futures,Mon-Thu 3pm-6pm,40.045,-74.447
Fairview Youth Mentorship Program,Education,Weekend mentorship and enrichment activities for teens.,50 Guidance Rd,Fairview,NJ,(555) 010-0604,https://example.org/youth-mentorship,Sat 10am-1pm,40.095,-74.411
Philadelphia Adult Literacy Program,Education,"Free reading, writing, and digital literacy classes for adults.",1234 Spring Garden St,Philadelphia,PA,(555) 010-0605,https://example.org/philly-adult-literacy,Mon-Thu 10am-2pm,39.964,-75.161
West Philly Youth Tutoring Center,Education,Free homework help and tutoring for elementary and middle schoolers.,4600 Baltimore Ave,Philadelphia,PA,(555) 010-0606,https://example.org/west-philly-tutoring,Mon-Fri 3pm-5:30pm,39.951,-75.211
Food Bank of the Rockies,Food,Regional food bank distributing to partner pantries; also runs a client choice market for individuals and families.,10700 E 45th Ave,Denver,CO,(303) 371-9250,https://www.foodbankrockies.org/,Mon-Fri 8am-4:30pm,39.778631,-104.865679
Denver Rescue Mission - Lawrence Street Shelter,Shelter,"Emergency shelter, meals, and intake services for men experiencing homelessness.",1130 Park Ave W,Denver,CO,(303) 297-1815,https://denverrescuemission.org/,Open 24/7,39.754750,-104.987772
STRIDE Community Health Center,Healthcare,"Sliding-scale primary and preventive care for the whole family, including walk-in visits.",2255 S Oneida St,Denver,CO,(303) 360-6276,https://www.stridechc.org/,Mon-Fri 8am-5pm,39.675614,-104.908959
Colorado Legal Services - Denver Office,Legal,"Free civil legal aid for low-income residents covering housing, benefits, and family law.","1560 Broadway, Suite 1100",Denver,CO,(303) 837-1313,https://www.coloradolegalservices.org/,Mon-Fri 8:30am-5pm,39.741221,-104.987315
Denver Workforce Center - Webb Municipal Building,Employment,"Free job search assistance, career counseling, and training referrals.",201 W Colfax Ave,Denver,CO,(720) 337-9675,https://www.denvergov.org/wdb,Mon-Thu 9am-4pm (Fri virtual),39.740639,-104.988572
Emily Griffith Technical College,Education,Career and technical training programs plus adult basic education and GED prep.,1860 Lincoln St,Denver,CO,(720) 423-4700,https://www.emilygriffith.edu/,"Mon-Tue 7:30am-6pm, Wed-Fri 7:30am-4pm",39.745671,-104.986043
